DATE,APPEARANCE,ACCOMPANY,,,,
2019.03.28,3.27 제5차 중대장·중대정치지도원대회 참가자들과 기념촬영,"리명수,김수길,리영길,노광철",,,,
2019.03.27,3.25∼26 제5차 중대장·중대정치지도원대회 지도,"리명수,김수길,리영길,노광철",,,,
2019.03.10,3.10 최고인민회의 제14기 대의원선거 참가,,,,,
2019.03.03,"3.2 호치민 주석 묘 참배, 영웅열사추모비 헌화","김영철,리수용,김평해,오수용,리용호,노광철,김여정,최선희",,,,
2019.03.02,"3.1 베트남 국가주석과 상봉·정상회담, 베트남 총리 및 국회의장과 상봉·면담, 만찬연회 참석","김영철,리수용,김평해,오수용,리용호,노광철,김여정,최선희,김명길",,,,
2019.02.28,2.27~28 제2차 조미수뇌상봉과 회담,"김영철,리수용,김평해,오수용,리용호,노광철,김여정,최선희",,,,
2019.02.27,2.26 베트남 주재 북한대사관 방문,"김영철,리수용,김평해,오수용,리용호,김여정,김성남,조용원",,,,
2019.02.16,2.16 &apos;광명성절&apos; 즈음 금수산태양궁전 방문,"최룡해,리만건,김여정,리영식",,,,
2019.02.09,2.8 조선인민군 창건 71주년 계기 인민무력성 축하방문 및 경축공연 관람,"리명수,김수길,리영길,노광철,최룡해,리수용,김평해,태종수,오수용,김영철",,,,
2019.01.31,｢보도일 2019.2.1｣ 1.31 중국 방문 공연 후 귀국한 친선예술단을 만나 기념촬영,,,,,
2019.01.24,1.23 제2차 조미고위급회담 대표단 만나 방미정형보고 청취,김영철,,,,
2019.01.08,"1.7~1.10 중화인민공화국 방문 및 시진핑 주석과 상봉, 회담","리설주,김영철,리수용,박태성,리용호,노광철,김여정,리일환,최동명,지재룡",,,,
2019.01.01,2019년 새해 즈음 금수산태양궁전 방문,"김영남,최룡해,박봉주",,,,
2019.01.01,2019년  새해 신년사,,,,,
2018.12.29,제4차 농업부문열성자회의 참가자들과 기념사진 촬영,"최룡해,박봉주,로두철,박태덕,김능오,고인호,리철만,곽범기",,,,
2018.12.17,김정일 사망 7주기 즈음 금수산태양궁전 방문,,,,,
2018.12.03,원산구두공장 현지지도,"황병서,조용원,마원춘",,,,
2018.12.01,동해지구 수산사업소들 현지지도,"황병서,조용원,마원춘,서홍찬",,,,
2018.11.18,대관유리공장 현지지도,"최룡해,조용원,김용수,마원춘",,,,
2018.11.16,국방과학원 시험장 방문 및 첨단전술무기 시험 지도,"최룡해,리병철,조용원,김용수,박정천",,,,
2018.11.16,신의주시건설총계획 검토 및 지도,"최룡해,조용원,김용수,마원춘,정경일",,,,
2018.11.07,쿠바 디아스카넬 의장 환송,"리설주,김영남,최룡해,박봉주,리수용,박태성,리용호,김능오,리룡남,김수길,리영길,노광철",,,,
2018.11.06,쿠바 디아스카넬 의장 재접견 및 대집단체조와 예술공연 관람,"리설주,김영남,최룡해,박봉주,리수용,박태성,리용호,김능오,김수길,리영길,노광철",,,,
2018.11.05,쿠바 미겔 마리오 디아스 카넬 국가평의회 의장 겸 내각 수상 영접,"리설주,김영남,최룡해,박봉주,리수용,박태성,리용호,김능오,리룡남,김수길,리영길,노광철",,,,
2018.11.04,北·中예술인 합동공연 관람,"최룡해,리수용,김여정,박춘남",,,,
2018.11.01,양덕군 온천관광지구 건설현장 현지지도,"최룡해,조용원,김용수,마원춘",,,,
2018.11.01,"원산갈마해안관광지구 건설장, 명사십리 건설현장 현지지도","최룡해,조용원,김용수,마원춘",,,,
2018.10.30,삼지연군 읍지구 건설현장 현지지도,"최룡해,조용원,김용수,마원춘",,,,
2018.10.11,삼지연관현악단 전용극장 개건 기념 현지지도 및 기념촬영,"한광상,조용원,권혁봉,마원춘",,,,
2018.10.11,당 창건 73주년 기념 금수산태양궁전 방문,"최룡해,박광호,리만건,김여정,리재일",,,,
2018.10.08,美 마이크 폼페이오 국무장관 접견,,,,,
2018.09.29,창립 70주년 맞이 김책공업종합대학 방문,"박태성,최동명",,,,
2018.09.19,남북정상회담,"리설주,김영남,최룡해,김영철,리수용,박태성,리용호,김수길,노광철,김여정,김능오,리선권,박명철,장혁,김경준,강영수,차희림,리상원,리성국",,,,
2018.09.11,中 당 및 정부대표단 위한 환영공연 및 연회 마련,"리설주,최룡해,박광호,리수용,박태성,김여정",,,,
2018.09.10,中 시진핑 주석의 특별대표로 방문한  리잔수(전인대 상무위원장) 접견,,,,,
2018.09.10,北 정권수립일 70돌 경축 &lt;빛나는 조국&gt; 관람,"리설주,김영남,최룡해,박봉주",,,,
2018.09.10,北 정권수립일 70돌 경축 중앙보고대회 진행,"김영남,최룡해,박봉주,양형섭,박광호,리수용,김평해,태종수,오수용,안정수,박태성,김영철,리용호,최부일,로두철,최휘,박태덕,정경택,조연준,리만건,김능오,김영대,리명수,김수길,리영길,노광철",,,,
2018.09.10,北 정권수립일 70돌 경축 열병식 및 평양군중시위 참석,"김영남,최룡해,박봉주",,,,
2018.09.09,러시아 연방평의회 의장 접견,,,,,
2018.09.09,北 정권수립일 70돌 즈음 금수산태양궁전 방문,"김영남,최룡해,박봉주",,,,
2018.09.06,南 문재인대통령의 특사대표단 성원들 접견,김영철,,,,
2018.09.05,故 주규창동지 조문,"태종수,김평해,리병철,홍승무,홍영칠,강봉훈",,,,
2018.08.21,故 김영춘 인민무력성 총고문 영결식 참가,김수길,,,,
2018.08.21,묘향산 의료기구공장 현지지도,"황병서,조용원,김영환,오일정,김용수,마원춘",,,,
2018.08.19,삼지연군 건설장 현지지도,"리설주,조용원,김영환,김용수,마원춘",,,,
2018.08.18,함북 경성군 온포온실농장 건설 준비사업 현지지도,"황병서,조용원,오일정,김용수,마원춘",,,,
2018.08.17,평남 양덕군 안의 온천지구 현지지도,"김수길,황병서,조용원,오일정,김용수,마원춘",,,,
2018.08.17,원산갈마해안관광지구건설장 현지지도,"리설주,김수길,황병서,조용원,오일정,김용수,마원춘",,,,
2018.08.13,연풍호방류어업사업소 현지지도,"조용원,오일정,김용수",,,,
2018.08.13,운곡지구 종합목장 현지지도,"황병서,조용원,오일정,김용수",,,,
2018.08.08,금산포젓갈가공공장 현지지도,"리설주,최룡해,황병서,조용원,오일정,김용수",,,,
2018.08.06,삼천메기공장 현지지도,"리설주,최룡해,황병서,조용원,오일정,김용수",,,,
2018.08.04,새형의 무궤도전차와 궤도전차 현지지도,"최룡해,오수용,김수길,황병서,조용원",,,,
2018.07.27,중국인민지원군 열사능원에 화환 진정,"리수용,김영철,리용호,노광철",,,,
2018.07.27,제5차 전국노병대회 참자자들과 기념사진 촬영,,,,,
2018.07.27,조국해방전쟁 참전열사묘 방문,"김수길,리영길,노광철,양형섭,리명수,태종수",,,,
2018.07.26,원산영예군인가방공장 현지지도,"리설주,한광상,조용원",,,,
2018.07.26,송도원종합식료공장 현지지도,"리설주,한광상,조용원",,,,
2018.07.25,조선인민군 제525호공장 현지지도,"황병서,한광상,조용원",,,,
2018.07.24,강원도양묘장 현지지도,"황병서,한광상,조용원",,,,
2018.07.17,청진가방공장 현지지도,"황병서,조용원,오일정,김용수",,,,
2018.07.17,함북 경성군 중평리 대규모남새온실농장 현지지도,"황병서,조용원,오일정,김용수",,,,
2018.07.17,온포휴양소 현지지도,"황병서,김성남,조용원,오일정,김용수",,,,
2018.07.17,염분진호텔 건설장 현지지도,"황병서,조용원,오일정,김용수",,,,
2018.07.17,나남탄광기계연합기업소 현지지도,"황병서,조용원,오일정,김용수",,,,
2018.07.17,청진조선소 현지지도,"황병서,조용원,오일정,김용수",,,,
2018.07.17,조선인민군 제810군부대산하 낙산바다연어양어사업소 및 석막대서양연어종어장  현지지도,"황병서,조용원,오일정,김용수",,,,
2018.07.17,어랑천발전소 건설장 현지지도,"황병서,조용원,오일정,김용수",,,,
2018.07.10,삼지연군당위원회 일꾼들과 기념사진 촬영,,,,,
2018.07.10,삼지연감자가루생산공장 현지지도,"황병서,조용원,오일정,김용수",,,,
2018.07.10,삼지연군 안의 건설장들 현지지도,"황병서,조용원,오일정,김용수",,,,
2018.07.10,삼지연군 중흥농장 현지지도,"황병서,조용원,김용수",,,,
2018.07.02,신의주화학섬유공장 현지지도,"안정수,황병서,한광상,김성남,조용원,오일정",,,,
2018.07.02,신의주방직공장 현지지도,"안정수,황병서,한광상,김성남,조용원,오일정",,,,
2018.07.01,신의주화장품공장 현지지도,"리설주,안정수,황병서,한광상,김성남,조용원,오일정",,,,
2018.06.30,조선인민군 제1524군부대 시찰,"황병서,한광상,조용원",,,,
2018.06.30,평안북도 신도군 현지지도,"황병서,한광상,김성남,조용원",,,,
2018.06.20,중국 방문,"리설주,최룡해,박봉주,리수용,김영철,박태성,리용호,노광철",,,,
2018.06.12,북미정상회담,"김영철,리수용,리용호,노광철,김여정",,,,
2018.06.09,새로 건설된 평양대동강수산물식당 방문,"리설주,리수용,한광상,리병철,김여정,김용수,조용원",,,,
2018.06.01,러 라브로프 외무상 접견,,,,,
2018.05.27,남북정상회담,김영철,,,,
2018.05.26,원산갈마해안관광지구 건설장 현지지도,조용원,,,,
2018.05.25,완공된 고암-답촌철길 현지에서 료해,"김용수,조용원",,,,
2018.05.18,당 중앙군사위원회 제7기 제1차확대회의 지도,,,,,
2018.05.10,美 마이크 폼페이오 국무장관 접견,,,,,
2018.05.08,中 시진핑 주석  상봉 및 회담,"리수용,김영철,리용호,김여정",,,,
2018.05.04,中 왕이 외교부장 접견,,,,,
2018.04.27,남북정상회담,"리설주,김영남,리수용,김영철,리용호,최휘,김여정,리선권,리명수,박영식",,,,
2018.04.26,中 관광객 사망자 시신 및 부상자  후송전용열차 마중,박봉주,,,,
2018.04.24,中 관광객 인명피해 사고 관련 중국대사관 위문방문 및 부상자 위로,,,,,
2018.04.21,조선로동당 중앙위원회 제7기 제3차 전원회의 진행,"최룡해,박봉주,김정각,박태성,김수길,김승두",,,,
2018.04.18,中 공산당 대외연락부장 쑹타오 재접견 및 쑹타오·예술단 위한 만찬 마련,"리설주,최룡해,리수용,김여정,조용원,권혁봉,김병호,김성남",,,,
2018.04.17,中 예술단 발레무용극 &lt;붉은 녀성중대&gt; 관람,"리설주,최룡해,리수용,최휘,김여정,박춘남",,,,
2018.04.16,태양절 계기 금수산태양궁전 방문,"김영남,최룡해,박봉주",,,,
2018.04.15,中 공산당 대외연락부장 쑹타오 접견 및 쑹타오·예술단 위한 환영연회,"리설주,최룡해,리수용,김영철,김여정,조용원,권혁봉,김병호,홍광순,김성남,박춘남",,,,
2018.04.10,조선로동당 정치국 회의 진행,박봉주,,,,
2018.04.02,南 예술단 공연 &lt;봄이 온다&gt; 관람,"리설주,김영남,최휘,김여정,리선권,박춘남",,,,
2018.03.31,국제올림픽 위원회 위원장 접견,"최룡해,최휘,김일국",,,,
2018.03.28,중국 비공식 방문,"리설주,최룡해,박광호,리수용,김영철,리용호,조용원,김성남,김병호,지재룡",,,,
2018.03.06,南 특사대표단 성원들 접견 및 만찬,"리설주,김영철,김여정",,,,
2018.02.16,김정일 생일 76주년 경축 금수산태양궁전 참배,"최룡해,박광호,리수용,김평해,태종수,오수용,안정수,박태성,김영철,최휘,박태덕",,,,
2018.02.13,삼지연관현악단 만나 기념사진 촬영,,,,,
2018.02.13,北 고위급대표단 만나 활동정형 보고 청취,"김영철,조용원",,,,
2018.02.08,조선인민군 창건 70돌 경축 열병식 참석,"리설주,김정각,리명수,박영식,김영남,최룡해,박봉주,박광호,양형섭,리수용,김평해,태종수,오수용,안정수,박태성,로두철,리용호,최부일,최휘,박태덕,임철웅,조연준,리만건,김수길,정경택,노광철,김철만,최영림,리용무,오극렬",,,,
2018.02.04,새형의 평양무궤도전차 시운전 현지지도,"리설주,오수용,조용원",,,,
2018.02.01,새로 개건된 평양무궤도전차공장 현지지도,"오수용,조용원",,,,
2018.01.25,평양제약공장 현지지도,"리설주,박태성,최동명,조용원",,,,
2018.01.17,새로 개건된 평양교원대학 현지지도,"박태성,조용원",,,,
2018.01.12,국가과학원 현지지도,"박태성,최동명,조용원",,,,
2018.01.01,신년사 발표,,,,,
2017.12.30,조선노동당 제5차 세포위원장대회 참가자들을 위한 공훈국가합창단과 모란봉악단 축하공연,"최룡해,박광호,김평해,태종수,오수용,안정수,박태성,최휘,박태덕,김여정",,,,
2017.12.25,"김정은 위원장, 당 제5차 당세포위원장 대회 기념사진 촬영","최룡해,박광호,김평해,태종수,오수용,안정수,박태성,최휘,박태덕",,,,
2017.12.22,"김정은 위원장, 당 제5차 당세포위원장 대회 참석 -개회사",,,,,
2017.12.18,"김정은 위원장, 김정일 사망 6주기 금수산태양궁전 참배",,,,,
2017.12.13,"김정은 위원장, 제8차 군수공업대회 참가자들과 기념촬영","태종수,노광철,장창하,전일호,홍승무,홍영칠",,,,
2017.12.13,화성-15형 시험발사 성공에 기여한 성원들에 당 및 국가표창 수여,,,,,
2017.12.13,"김정은 위원장, 제8차 군수공업대회 폐막 -결론",,,,,
2017.12.12,"김정은 위원장, 제8차 군수공업대회 참석","태종수,노광철,장창하,전일호,홍승무,홍영칠",,,,
2017.12.09,삼지연군 여러 단위 공개활동,"최룡해,김용수,조용원,마원춘",,,,
2017.12.09,"김정은 당 위원장, 백두산 등정","최룡해,김용수,조용원,리상원,마원춘,양명철",,,,
2017.12.06,"김정은 위원장, 삼지연 감자가루 생산공장 공개활동","최룡해,김용수,조용원,김웅철,마원춘",,,,
2017.12.03,"김정은 위원장, 압록강타이어공장 공개활동","최룡해,홍영칠,조용원,유진",,,,
2017.11.29,"김정은, ‘화성-15형’ 시험발사 전 과정 현지 지도","장창하,전일호,조용원,유진",,,,
2017.11.28,"김정은, 새로 건설된 순천메기공장 현지지도","오수용,박태성,조용원",,,,
2017.11.21,"김정은, 승리자동차연합기업소 현지지도","오수용,박태성,조용원",,,,
2017.11.15,"김정은, 금성뜨락또르공장 현지지도","박봉주,오수용,조용원",,,,
2017.11.04,"김정은, 3월16일공장 현지지도","오수용,박태성,홍영칠,조용원,유진",,,,
2017.10.29,"김정은, 새로 개건된 평양화장품공장 현지지도","리설주,김수길,김여정,안정수,조용원",,,,
2017.10.19,"김정은, 류원신발공장 현지지도","김용수,김여정,조용원,박명순,김수길,리설주,안정수",,,,
2017.10.13,"김정은, 만경대혁명학원 축하방문","리일환,김용수,김여정,조용원",,,,
2017.10.08,당 중앙위 제7기 제2차 전원회의,,,,,
2017.09.30,"김정은, 인민군 제810군부대 산하 1116호 농장 공개활동","최룡해,김용수,조용원,조남진,한광상",,,,
2017.09.21,"김정은, 황해남도 과일군 현지지도","황병서,최룡해,서홍찬,김용수,조용원",,,,
2017.09.16,"김정은, 화성12형 미사일 발사훈련 참관",,,,,
2017.09.12,섬 분교와 최전연지대ㆍ산골학교들에 자원진출한 교원들을 만나고 기념사진,최태복,,,,
2017.09.10,대륙간탄도로케트 장착용 수소탄 시험성공에 기여한 성원들과 기념촬영,"리만건,홍승무",,,,
2017.09.10,"핵과학자, 기술자들을 위한 축하연회 진행","황병서,박봉주,최룡해",,,,
2017.09.10,"핵과학자, 기술자들을 위한 축하공연 진행",리설주,,,,
2017.09.04,조선노동당 중앙위원회 정치국 상무위원회 진행,"김영남,황병서,박봉주,최룡해",,,,
2017.09.03,핵무기 병기화사업 지도,,,,,
2017.09.02,조선인민군 제4차 청년동맹초급단체비서 열성자대회 참가자들과 기념사진,황병서,,,,
2017.08.30,인민군 전략군의 중장거리 전략 탄도로켓 발사훈련 지도,"리병철,김정식,조용원,유진,장창하,전일호",,,,
2017.08.26,섬 점령을 위한 조선인민군 특수작전부대들의 대상물타격 경기대회 지도,,,,,
2017.08.23,국방과학원 화학재료연구소 공개활동,"조용원,김정식",,,,
2017.08.15,인민군 전략군사령부 시찰,"황병서,김정식",,,,
2017.07.31,화성-14형 2차 시험발사 성공 경축 연회 참석,"리설주,리만건,리병철,김락겸,김정식,정승일,장창하,전일호",,,,
2017.07.29,대륙간탄도로케트 《화성-14》형 2차 시험발사 현지지도 공개활동,"리병철,김락겸,김정식,장창하,전일호,유진,조용원",,,,
2017.07.28,정전협정 체결 64주년을 맞아 조국해방전쟁참전열사묘 방문,"황병서,리명수,박영식",,,,
2017.07.13,대륙간탄도로케트 시험발사성공에 기여한 성원들에 대한 당 및 국가표창수여식 진행,,,,,
2017.07.13,화성-14형 시험발사성공에 기여한 성원들과 함께 기념촬영,"리만건,리병철",,,,
2017.07.11,대륙간탄도로케트 시험발사 성공 축하 연회 참석,"리설주,김영남,황병서,박봉주,최룡해",,,,
2017.07.10,화성-14형 시험발사 성공 기념 음악 무용 종합공연 관람,"김영남,황병서,최룡해,박봉주",,,,
2017.07.08,금수산태양궁전 참배,,,,,
2017.07.05,대륙간탄도미사일 화성 14형 시험발사 현지지도 공개활동,"리병철,김락겸,김정식,정승일,장창하,전일호,유진,조용원",,,,
2017.06.20,새로 건설된 치과 위생용품공장 공개활동,"황병서,박봉주,최태복,오수용,안정수,서홍찬,조용원,마원춘",,,,
2017.06.09,신형 지상대해상 순항미사일 시험발사 참관,"황병서,리병철,리영길,김정식,정승일",,,,
2017.06.08,조선소년단 제8차 대회 참가자들과 기념사진 촬영,"최룡해,리일환,전용남",,,,
2017.06.07,조선소년단 제8차대회 참석 및 연설,"최룡해,최태복,리일환,김승두",,,,
2017.06.05,조선인민군 항공 및 반항공군 비행지휘 성원들의 전투비행술 경기대회-2017 공개활동,,,,,
2017.06.03,강서약수공장 공개활동,"안정수,김용수,조용원",,,,
2017.05.30,정밀조종 유도체계를 도입한 탄도로켓 시험발사 공개 활동,"리병철,김락겸,김정식,장창하,정승일,전일호",,,,
2017.05.28,신형 반항공 요격유도 무기체계 시험사격 참관,"황병서,리영길,오금철,김광혁,리병철,김정식,정승일",,,,
2017.05.22,북극성-2형 시험발사 참관,"리병철,김정식,정승일,유진,조용원",,,,
2017.05.20,화성-12형 개발자들과 함께 기념사진 촬영,"리만건,리병철,김정식,정승일,장창하",,,,
2017.05.15,새 형의 로켓 시험발사 공개활동,"리병철,김정식,정승일,장창하,김락겸",,,,
2017.05.13,조선인민군 건설부문 열성자들과 기념촬영,"황병서,박영식,김정관",,,,
2017.05.13,"인민무력성 기공구, 마감건재품 및 과학기술성과 전시회장 공개활동","황병서,박영식,김정관",,,,
2017.05.10,낙랑 영예군인 수지일용품공장 공개활동,"박봉주,리주오,안정수,조용원",,,,
2017.05.05,장재도방어대와 무도 영웅방어대 공개활동,"황병서,서홍찬,박정천,리성국,리영철,오일정,조용원",,,,
2017.04.26,인민군 군종 합동 타격시위 참관,,,,,
2017.04.23,인민군 항공 및 반항공군 &amp;apos;4월 22일 태천 돼지공장&amp;apos; 공개활동,"황병서,서홍찬,김광혁,손철주",,,,
2017.04.17,김일성 생일 105돌 기념 공훈국가합창단 공연 관람,"황병서,리명수,박영식,리영길",,,,
2017.04.16,금수산태양궁전 참배,"김영남,황병서,박봉주,최룡해",,,,
2017.04.15,김일성 생일 105돌 기념 열병식 참석,,,,,
2017.04.13,여명거리 준공식 진행,,,,,
2017.04.13,군 특수작전부대 강하 및 대상물 타격경기대회 2017 공개활동,,,,,
2017.04.11,최고인민회의 제13기 제5차 회의 참석,,,,,
2017.04.08,평양 버섯공장 공개활동,"박봉주,조용원,마원춘",,,,
2017.04.01,조선인민군 탱크병 경기대회 2017 참관,,,,,
2017.03.28,새로 개건된 조선혁명박물관 공개활동,"최룡해,김기남,김정임,조용원,마원춘",,,,
2017.03.19,새형의 대출력발동기 지상분출실험 참관 공개활동,"리병철,김정식",,,,
2017.03.16,여명거리 건설장 공개활동,"황병서,김정관,마원춘",,,,
2017.03.11,백두산건축연구원 공개활동,마원춘,,,,
2017.03.07,조선인민군 전략군 화성 포병부대들의 탄도로켓 발사훈련 현지지도,"리병철,김정식",,,,
2017.03.03,만경대 혁명학원 방문 및 식수,"리설주,황병서,최룡해",,,,
2017.03.01,조선인민군 제 966대연합부대 지휘부 공개활동,"황병서,리영길",,,,
2017.02.23,공훈국가합창단 창립 70돌 기념공연 관람,"황병서,최룡해,김기남",,,,
2017.02.21,삼천메기공장 방문,"황병서,서홍찬,김용수,조용원",,,,
2017.02.16,김정일 생일 75주년 경축 금수산태양궁전 참배,"황병서,김기남,최태복,리명수,리수용,김평해,리만건,오수용,김영철,최부일,조연준,리병철,박영식",,,,
2017.02.15,김정일 생일 75주년 경축 중앙보고대회 참석,"김영남,황병서,박봉주,김기남,최태복,리명수,박영식,리수용,김평해,리만건,오수용,김영철,최부일,로두철,리용호,김수길,조연준,리병철,노광철,김영대,리기석,차상보,윤길상",,,,
2017.02.13,중장거리 전략탄도탄 북극성-2형 시험발사 공개활동,,,,,
2017.02.07,강동정밀기계공장 방문,"조용원,유진",,,,
2017.02.02,새로 건설된 평양초등학원 방문,"최룡해,조용원,마원춘",,,,
2017.01.28,탱크장갑 보병연대 겨울철 도하공격 전술연습 지도,,,,,
2017.01.26,려명거리 건설장 방문,"오수용,조용원,마원춘",,,,
2017.01.23,故 강기섭 빈소 방문,"황병서,최룡해,리명수,박영식,김용수,조용원",,,,
2017.01.22,오중흡7연대 칭호 수여받은 제 1314군부대 공개활동,"황병서,리영길",,,,
2017.01.19,조선인민군 제233군부대 직속 구분대 공개활동,"황병서,리영길",,,,
2017.01.15,새로 건설된 금산포젓갈가공공장과 금산포수산사업소 방문,"황병서,서홍찬,김용수,조용원,마원춘",,,,
2017.01.12,류경김치공장 방문,"오수용,안정수,조용원,신만균",,,,
2017.01.08,김정숙평양제사공장에 새로 꾸린 이불생산공정과 노동자합숙소 방문,"안정수,조용원,박명순",,,,
2017.01.05,평양가방공장 방문,"안정수,조용원,림준길",,,,
2017.01.01,2017년 새해 신년사 발표,,,,,
2017.01.01,금수산태양궁전 참배,"리설주,김영남,황병서,박봉주,최룡해",,,,
2016.12.31,[보도일 2017.01.01]인민군 제4차 수산부문 열성자회의(16.12.29)참가자들과 기념촬영,"황병서,최룡해",,,,
2016.12.29,1차 전당 초급당 위원장 대회 참가자들과 모란봉악단 공훈 국가합창단 합동공연 관람,"황병서,최룡해,김기남,최태복,리수용,김평해,리만건,오수용,곽범기,김영철",,,,
2016.12.29,1차 전당 초급당 위원장 대회 참가자들과 기념촬영,"황병서,최룡해,김기남,최태복,리수용,김평해,리만건,오수용,곽범기,김영철",,,,
2016.12.26,1차 전당 초급당 위원장 대회 3일회의 참석,,,,,
2016.12.25,1차 전당 초급당 위원장 대회 2일회의 참석,,,,,
2016.12.24,1차 전당 초급당 위원장 대회 1일회의 참석,"황병서,최룡해,김기남,최태복,리수용,김평해,오수용,곽범기,김영철,리만건,김수길,김능오,박태성,조연준",,,,
2016.12.21,길영조 영웅 추격기 연대 전투비행사들의 야간 습격 전투 비행훈련 참관,"황병서,리명수,리영길,리병철",,,,
